audio	text	duration	confidence
segment_0000.wav	TƆ́GBÓ TƆGBO	6.786	1
segment_0002.wav	Tɔ́gbó tɔgbo wǒ lɛ́ɛ, bɛ́ sín Adámu jí yi Esawu ví lɛ́ɛ jí Adámu ji Sɛ́ti,	8.672	1
segment_0003.wav	Adámu ji Sɛ́ti, bɔ Sɛ́ti ji Enɔci. Enɔci ji Kenáni,	8.474	1
segment_0004.wav	bɔ Kenáni ji Maxalalɛ́li, Maxalalɛ́li ji Yɛlɛ́di. Yɛlɛ́di ji	8.672	1
segment_0007.wav	bɔ Nɔwée ji Sɛ́mu, bó ji Cámu, bó ji Jafɛ́ti.	8.291	1
segment_0008.wav	Magɔ́gi, Madayi, Yaváni, Tubalu, Mɛcɛ́ki	7.841	1
segment_0010.wav	Yaváni ví lɛ́ɛ ɖíe: Elica, Taasísi, Kitímu kpó Hlodanímu kpó.	8.615	1
segment_0011.wav	Kasluaxi wɛ Filisitɛ́ɛn lɛ́ɛ gosín.	7.497	1
segment_0017.wav	lɛ́ɛ	8.921	1
segment_0018.wav	lɛ́ɛ, Nafutwaxinu lɛ́ɛ, Patlɔ́sinu lɛ́ɛ,	7.71	0.8485
segment_0019.wav	Kafutɔ́ɔnu lɛ́ɛ kpó sín tɔ́gbó wɛ nyí Mislayímu.	7.845	1
segment_0020.wav	Kanáa ji Sidɔ́ɔn, bó ji Xɛti.	7.937	1
segment_0022.wav	Amɔliti lɛ́ɛ, Giigacíti lɛ́ɛ, Hivíti lɛ́ɛ, Aakíti lɛ́ɛ,	7.8	1
segment_0023.wav	Aakíti lɛ́ɛ, Sini ví lɛ́ɛ, Aavadinu lɛ́ɛ,	7.256	1
segment_0024.wav	kpódó Hamátinu lɛ́ɛ kpó sín tɔ́gbó lɛ́ɛ ɔ́,	8.172	1
segment_0025.wav	Sɛ́mu ví lɛ́ɛ ɖíe:	7.068	1
segment_0026.wav	Elámu, Asúu, Aapakisadu, Lǔdi, Alamu, Wúsi, Huli,	8.002	1
segment_0027.wav	Cɛláxi,	7.611	1
segment_0028.wav	Mɛ ɖokpó nɔ nyí	8.687	0.9333
segment_0029.wav	Pɛlɛ́gi, Pɛlɛ́gi sín tínmɛ wɛ nyí “Mima”, ɖó hwetɔnnu wɛ è mǎ ayǐkúngban ɔ́.	8.85	1
segment_0030.wav	Nɔví tɔn ká nɔ nyí Yokitáni. Yokitáni ji Alumɔdadi, Cɛlɛ́fu,	8.794	1
segment_0032.wav	Evalu, Avimayɛ́li, Saba, Ofíi, Hawíla kpódó Yovavu kpó.	8.149	1
segment_0033.wav	Yě mɛ énɛ́ lɛ́ɛ bǐ wɛ nyí Yokitáni ví.	7.796	1
segment_0035.wav	bɔ Ebɛ́ɛ ji Pɛlɛ́gi, bɔ Pɛlɛ́gi ji Hlewu,	8.957	1
segment_0036.wav	Selúgi, Selúgi ji Naxɔ́ɔ, Naxɔ́ɔ ji Tɛláxi.	8.766	1
segment_0037.wav	Tɛláxi ka ji Ablámu; Ablámu ɔ́ wɛ è	4.929	1
segment_0038.wav	Ablámu ɔ́ wɛ è wǎ ɖó nyǐkɔ ná ɖɔ Ablaxámu. Ablaxámu ví lɛ́ɛ ɖíe: Izáki	8.723	1
segment_0039.wav	Vǐ yětɔn lɛ́ɛ ɖíe: Nɛbayɔ́ti,	5.474	1
segment_0040.wav	é wɛ nyí nukɔngbéví Isimayɛ́li tɔn. Kedáa,	7.429	1
segment_0041.wav	Duma, Masa, Hadádi, Téma,	7.365	1
segment_0042.wav	Ketúla Ablaxámu sín asi ɔ́, vǐ tɔn lɛ́ɛ ɖíe: Zimulani, Yokicáni, Mɛdani, Madiáani, Yicibaku kpó Cuwáxi kpó. Yokicáni ví lɛ́ɛ ɖíe: Saba kpó Dedáni kpó. Madiáani ví lɛ́ɛ ɖíe: Eyifa, Efɛ́ɛ, Hanɔki, Avida kpódó Ɛlidáa kpó. Yě mɛ énɛ́ lɛ́ɛ bǐ wɛ nyí vǐ súnnu Ketúla tɔn.	6.502	1
segment_0047.wav	Avida kpódó Ɛlidáa kpó.	5.865	1
segment_0048.wav	Yě mɛ énɛ́ lɛ́ɛ bǐ wɛ nyí vǐ súnnu Ketúla tɔn. Ablaxámu ji Izáki;	7.466	1
segment_0049.wav	Ablaxámu ji Izáki; Izáki ví lɛ́ɛ ɖíe: Esawu kpó Izlayɛ́li kpó.	7.001	1
segment_0050.wav	Esawu ví lɛ́ɛ ɖíe: Elifázi, Hlewuyɛ́li, Yewúci,	7.575	1
segment_0051.wav	Elifázi, Hlewuyɛ́li, Yewúci, Yaelámu kpódó Koláxi kpó. Elifázi ví lɛ́ɛ ɖíe: Temani, Omáa, Sefíi, Gayetámu, Kenázi, Timuna kpódó Amalɛ́ki kpó.	7.9	1
segment_0053.wav	Hlewuyɛ́li ví lɛ́ɛ ɖíe: Naxáti,	6.851	1
segment_0054.wav	Zeláxi, Camuma kpó Miziza kpó.	8.019	1
segment_0055.wav	Lotáni, Covalu, Siveɔ́ni, Esɛ́ɛ kpó Dicɔ́ni kpó.	7.816	1
segment_0056.wav	Siveɔ́ni ví lɛ́ɛ ɖíe: Aya kpó Ana.	6.832	1
segment_0059.wav	ɖíe: Aliyani, Manaxáti, Evalu, Cefí	7.424	1
