audio	text	duration	confidence
segment_0000.wav	TƆ́GBÓ TƆGBO	6.786	1
segment_0003.wav	Adámu ji Sɛ́ti, bɔ Sɛ́ti ji Enɔci. Enɔci ji Kenáni, bɔ Kenáni ji Maxalalɛ́li, Maxalalɛ́li ji Yɛlɛ́di.	8.474	1
segment_0004.wav	bɔ Kenáni ji Maxalalɛ́li, Maxalalɛ́li ji Yɛlɛ́di. Yɛlɛ́di ji	8.672	1
segment_0005.wav	Henɔci, Henɔci ji Mɛtucɛláxi, bɔ Mɛtucɛláxi	8.117	1
segment_0006.wav	Lamɛki. Lamɛki ji Nɔwée, bɔ Nɔwée ji Sɛ́mu,	7.161	1
segment_0007.wav	Cámu, bó ji Jafɛ́ti. Jafɛ́ti ví lɛ́ɛ ɖíe:	8.291	1
segment_0008.wav	Magɔ́gi, Madayi, Yaváni, Tubalu, Mɛcɛ́ki	7.841	1
segment_0009.wav	Gomɛ́ɛ ví lɛ́ɛ ɖíe: Acikenázi, Difáti kpó	8.558	1
segment_0010.wav	Yaváni ví lɛ́ɛ ɖíe: Elica, Taasísi,	8.615	1
segment_0011.wav	Kitímu kpó Hlodanímu kpó. Cámu ví lɛ́ɛ ɖíe: Kúci, Misilayimu, Púti kpó Kanáa kpó. Kúci ví lɛ́ɛ ɖíe: Seva, Hawíla, Savuta, Hlaema kpódó Savuteka kpán. Hlaema ví lɛ́ɛ ɖíe: Saba kpódó Dedáni kpó. Kúci wɛ lɛ́ ji Nɛmulɔ́di; Nɛmulɔ́di ɔ́ wɛ nyí ahwanfuntɔ́ syɛ́nsyɛ́n nukɔntɔn e ɖo ayǐkúngban ɔ́ jí é. Lǔdinu lɛ́ɛ, Eyinamunu lɛ́ɛ, Lexávunu lɛ́ɛ, Nafutwaxinu lɛ́ɛ, Patlɔ́sinu lɛ́ɛ, Kasluaxinu lɛ́ɛ kpódó Kafutɔ́ɔnu lɛ́ɛ kpó sín tɔ́gbó wɛ nyí Mislayímu. Kasluaxi wɛ Filisitɛ́ɛn lɛ́ɛ gosín. Kanáa ji Sidɔ́ɔn,	7.497	1
segment_0014.wav	Saba, Ofíi,	8.331	0.5556
segment_0017.wav	Hawíla kpódó Yovavu kpó. Yě mɛ énɛ́ lɛ́ɛ bǐ wɛ nyí Yokitáni ví. Sɛ́mu ji Aapakisadu, bɔ Aapakisadu ji Cɛláxi, Cɛláxi ji Ebɛ́ɛ, bɔ Ebɛ́ɛ ji Pɛlɛ́gi, bɔ Pɛlɛ́gi ji Hlewu, Hlewu ji Selúgi, Selúgi ji Naxɔ́ɔ, Naxɔ́ɔ ji Tɛláxi. Tɛláxi ka ji Ablámu; Ablámu ɔ́ wɛ è wǎ ɖó nyǐkɔ ná ɖɔ Ablaxámu. Ablaxámu ví lɛ́ɛ ɖíe: Izáki kpó Isimayɛ́li kpó. Vǐ yětɔn lɛ́ɛ ɖíe: Nɛbayɔ́ti, é wɛ nyí nukɔngbéví Isimayɛ́li tɔn. Kedáa, Adibeɛli, Mivusámu, Micima, Duma, Masa, Hadádi,	8.921	1
segment_0030.wav	Yokicáni, Mɛdani, Madiáani, Yicibaku kpó Cuwáxi kpó. Yokicáni ví lɛ́ɛ ɖíe: Saba kpó Dedáni kpó.	8.794	1
segment_0033.wav	kpó. Yě mɛ énɛ́ lɛ́ɛ bǐ wɛ nyí	7.796	0.5
segment_0036.wav	Hlewuyɛ́li, Yewúci, Yaelámu kpódó Koláxi kpó. Elifázi ví lɛ́ɛ ɖíe: Temani,	8.766	0.7895
segment_0050.wav	Esawu ví lɛ́ɛ ɖíe: Elifázi, Hlewuyɛ́li, Yewúci, Yaelámu kpódó Koláxi kpó.	7.575	1
segment_0051.wav	Yaelámu kpódó Koláxi kpó. Elifázi ví lɛ́ɛ ɖíe: Temani,	7.9	1
segment_0052.wav	Sefíi, Gayetámu, Kenázi, Timuna	7.856	1
segment_0053.wav	Hlewuyɛ́li ví lɛ́ɛ ɖíe: Naxáti,	6.851	1
segment_0054.wav	Hlewuyɛ́li ví lɛ́ɛ ɖíe: Naxáti, Zeláxi, Camuma kpó Miziza kpó. Seyíi ví lɛ́ɛ ɖíe:	8.019	1
segment_0055.wav	Lotáni, Covalu, Siveɔ́ni, Esɛ́ɛ kpó	7.816	1
segment_0056.wav	Dicɔ́ni kpó. Siveɔ́ni	6.832	1
segment_0057.wav	Lotáni ví lɛ́ɛ ɖíe: Holi kpó Homamu kpó.	8.772	1
segment_0059.wav	Aliyani, Manaxáti, Evalu, Cefí kpódó Ɔnámu kpó.	7.424	1
segment_0060.wav	Cefí kpódó Ɔnámu kpó. Siveɔ́ni ví lɛ́ɛ ɖíe: Aya kpó Ana.	8.99	1
segment_0061.wav	Dicɔ́ni ví lɛ́ɛ ɖíe: Hamulaní, Ɛcibáni,	8.738	1
segment_0062.wav	Yitlani kpódó Keláni kpó. Esɛ́ɛ ví lɛ́ɛ ɖíe: Biluháni,	7.476	1
segment_0063.wav	Zaawani kpó Yaakáni kpó.	7.567	1
segment_0064.wav	Wúsi kpódó Alani kpán. Axɔ́sú Edɔ́mu tɔn lɛ́ɛ kpó hɛ̌nnugán lɛ́ɛ kpó	8.737	1
segment_0065.wav	axɔ́súzinkpo Edɔ́mu tɔn jí ɖě jɛ ɖě gúdo	7.281	0.8421
segment_0066.wav	kpó hɛ̌nnugán lɛ́ɛ kpó Axɔ́sú e yi axɔ́súzinkpo Edɔ́mu tɔn jí ɖě jɛ ɖě gúdo cóbɔ axɔ́sú ɖokpó wá jɛ Izlayɛ́li togun ɔ́ nu ɔ́, nyǐkɔ yětɔn lɛ́ɛ ɖíe:	8.229	1
segment_0067.wav	Bɛ́la, Beɔ́ɔ ví ɔ́, Dinavanu wɛ. Bɛ́la wá kú bɔ	7.032	1
segment_0068.wav	Bɛ́la wá kú bɔ Boslanu Yovavu Zeláxi ví ɔ́ wá ɖu axɔ́sú ɖó tɛn tɔn mɛ.	7.695	1
segment_0070.wav	Hucámu wá kú, bɔ Awítinu Hadádi	7.424	0.6286
segment_0071.wav	Hadádi Bedádi ví ɔ́ ɖu axɔ́sú ɖó tɛn tɔn mɛ. É wɛ hu Madiáani ví lɛ́ɛ ɖo Mɔwabu gbé jí.	8.719	1
segment_0072.wav	Hadádi wá kú, bɔ Samula,	7.031	0.9565
segment_0076.wav	Baalu-Hanáni, Akubɔ́ɔ ví ɔ́ ɖu axɔ́sú	6.687	1
segment_0077.wav	bɔ Hadádi Payíinu ɔ́ ɖu axɔ́sú ɖó tɛn tɔn mɛ; asi tɔn nɔ nyí	8.896	1
segment_0078.wav	Matlɛ́di ví wɛ bó nyí Mɛ-Zahavu vívú.	7.339	0.9722
segment_0079.wav	Hadádi lɔ wá kú, bɔ hɛ̌nnugán	8.039	1
segment_0080.wav	Timuna, Aliya, Yetɛ́ti, Oxoliváma, Ela, Pinɔ́nu, Kenázi, Temani, Mivusáa, Magidiɛ́li kpódó Ilamu kpó.	7.742	1
segment_0081.wav	Aliya, Yetɛ́ti, Oxoliváma, Ela, Pinɔ́nu,	7.742	1
segment_0082.wav	Kenázi, Temani, Mivusáa, Magidiɛ́li kpódó Ilamu kpó.	8.971	1
segment_0083.wav	Ilamu kpó. Hɛ̌nnugán Edɔ́mu tɔn lɛ́ɛ nɛ́.	4.355	1
